Object identifier,Divisions,Accession Number,Accession Description,Quantity,Type,Original Number,Other Numbers,Object Type,Materials,Display Date,Provenience,Verbatim Geography,Geographic Location,Political Location,Culture,Description,Curatorial Notes
1361,Ethnology & Material Culture,"Accession Number: 208
",Accession #208 Donation 12/1924 (208),"Quantity: 1
Unit: ea
",Ethnographic,,,Cordage,Fiber; Wood,,,Asia-Southeast Asia-Philippines--,,,,"Game-carrier (?) 


Double loop of fiber tied at one end, with large, round, wood beads threaded on it.",
8002,Ethnology & Material Culture,"Accession Number: 278
",Accession #278 Purchase 04/20/1926 (278),"Quantity: 1
Unit: ea
",Ethnographic,,,Sword and sheath,Metal; Wood; Cotton; Wicker,,,Asia-Southeast Asia-Philippines-Lanao del Sur-,,Taraca District,Moro,"One straight-edged Kampilan knife and sheath, wired together.  Captured in the Taraca District, April 5, 1904.",
8003,Ethnology & Material Culture,"Accession Number: 278
",Accession #278 Purchase 04/20/1926 (278),"Quantity: 1
Unit: ea
",Ethnographic,,,Sword,Metal; Hair/Fur; Silk; Botanical,,,Asia-Southeast Asia-Philippines-Lanao del Sur-,,Taraca District,Moro,"One kampilan sword, V-type handle.  Metal blade hafted in a wooden handle which is decorated with tufts of dyed red animal hair, natural cordage, and a twisted silk scarf.  Note reads, ""captured in the Taraca district, April 5, 1904.""",
8004,Ethnology & Material Culture,"Accession Number: 278
",Accession #278 Purchase 04/20/1926 (278),"Quantity: 1
Unit: ea
",Ethnographic,,,Sword,Metal; Silk; Wood; Cotton,,,Asia-Southeast Asia-Philippines-Lanao del Sur-,,Taraca District,Moro,"One straight-edged Kampilan, captured in the Taraca District April 5, 1904.",
8005,Ethnology & Material Culture,"Accession Number: 278
",Accession #278 Purchase 04/20/1926 (278),"Quantity: 1
Unit: ea
",Ethnographic,,,Sword,Metal; Wood,,,Asia-Southeast Asia-Philippines-Lanao del Sur-,,Taraca District,Moro,"One Kampilan sword, with an etched metal blade hafted in a wooden handle.  Captured in the Taraca District, April 5, 1904.",
8007,Ethnology & Material Culture,"Accession Number: 278
",Accession #278 Purchase 04/20/1926 (278),"Quantity: 1
Unit: ea
",Ethnographic,,,Sword,Metal; Wood; Wicker,,,Asia-Southeast Asia-Philippines-Cotabato-,Cattobatto Valley,Fort Serani,,"One beheading blade ""tabas"" parang.  Bagsacay or Simbilin.  It is believed that the knife was used for both fighting and beheading.  Captured at Datto Alis, Fort Serani, Cattobatto Valley, March, 1904.",
8010,Ethnology & Material Culture,"Accession Number: 278
",Accession #278 Purchase 04/20/1926 (278),"Quantity: 1
Unit: ea
",Ethnographic,,,Knife,Metal; Wood,,,Asia-Southeast Asia-Philippines--,Jalo Island in Sulu Island Group,,Moro,"Ornamental Barong, a combat knife.  Captured on the island of Jalo in Sulu Group, on the 2nd of Gen'l Wood, Nov 1903.  Knives of this sort are used in combat.",
8011,Ethnology & Material Culture,"Accession Number: 278
",Accession #278 Purchase 04/20/1926 (278),"Quantity: 1
Unit: ea
",Ethnographic,,,Knife,Metal; Wood,,,Asia-Southeast Asia-Philippines--,,,,"One Bolo working knife.  Notes says, ""This is about the only tool used by natives in building houses. Malabong.""",
8012,Ethnology & Material Culture,"Accession Number: 278
",Accession #278 Purchase 04/20/1926 (278),"Quantity: 1
Unit: ea
",Ethnographic,,,Knife,Metal; Wood,,,Asia-Southeast Asia-Philippines--,,,,"One Bolo knife, a working tool used for building.  Blade is metal hafted in a wooden handle.",
8013,Ethnology & Material Culture,"Accession Number: 278
",Accession #278 Purchase 04/20/1926 (278),"Quantity: 1
Unit: ea
",Ethnographic,,,Knife,Metal; Wood,,,Asia-Southeast Asia-Philippines-Lanao del Sur-,,Malabang,,"One Bolo knife, with a metal blade hafted in a wooden handle.  Note reads, ""this is a working knife, about the only tool used to build houses. Malabang""",
8015,Ethnology & Material Culture,"Accession Number: 278
",Accession #278 Purchase 04/20/1926 (278),"Quantity: 2
Unit: ea
",Ethnographic,,,Dagger and sheath,Serpentine,,"Captured in Teresa? District
April 5, 1904",Asia-Southeast Asia-Philippines--,,,,"Serpentine kris-dagger and scabbard 

Used in close combat",
8018,Ethnology & Material Culture,"Accession Number: 278
",Accession #278 Purchase 04/20/1926 (278),"Quantity: 1
Unit: ea
",Ethnographic,,,Kris,Metal; Wood,,,Asia-Southeast Asia-Philippines--,Cattobatto Valley,Tayolan,,"One wavy and straight kris dagger, no sheath.  Note reads, ""Used in fighting at close quarters.  Captured at Tayolan, Cattobatto Valley, January 27, 1905.""",
8020,Ethnology & Material Culture,"Accession Number: 278
",Accession #278 Purchase 04/20/1926 (278),"Quantity: 1
Unit: ea
",Ethnographic,,,Dagger,Metal; Wood,,,Asia-Southeast Asia-Philippines-Lanao del Sur-,Mindanao Island,Taraca District,,"One dirk-dagger (sheath missing since before 1945).  Note says the weapon was used in close combat, captured in Taraca District, April 5, 1904.",
8021,Ethnology & Material Culture,"Accession Number: 278
",Accession #278 Purchase 04/20/1926 (278),"Quantity: 1
Unit: ea
",Ethnographic,,,Dagger and sheath,Metal; Wood; Wicker,,,Asia-Southeast Asia-Philippines--,Cattobatto Valley,Tayolin,,"One dirk-dagger and sheath, cannot be separated.  Dagger has a metal blade and wooden handle.  Sheath is wooden with wicker bands.  Note reads, ""Used in fighting at close quarters.  Captured at Tayolin, Cattobatto Valley, Jan. 27, 1905.""",
8023,Ethnology & Material Culture,"Accession Number: 278
",Accession #278 Purchase 04/20/1926 (278),"Quantity: 1
Unit: ea
",Ethnographic,,,Dagger,Metal; Wood,,,Asia-Southeast Asia-Philippines--,,,,"One Punal de kris dagger, with a metal blade and wooden handle. 

""Captured from the Sultan of Pinud Gata, january 1, 1905""",
8024,Asian Ethnology,"Accession Number: 278
",Accession #278 Purchase 04/20/1926 (278),"Quantity: 1
Unit: ea
",Ethnographic,,,Dagger,Unknown,,,Asia-Southeast Asia-Philippines-Lanao del Sur-,,Malabang,,,
8026,Ethnology & Material Culture,"Accession Number: 278
",Accession #278 Purchase 04/20/1926 (278),"Quantity: 1
Unit: ea
",Ethnographic,,,Knife,Metal,,,Asia-Southeast Asia-Philippines-Lanao del Norte-,Mindan,Taraca District,,A Buyo knife - used to cut tobacco and areca nut - One end is used to scrape lime out of the box.,
8027,Ethnology & Material Culture,"Accession Number: 278
",Accession #278 Purchase 04/20/1926 (278),"Quantity: 1
Unit: ea
",Ethnographic,,,Knife,Metal; Wood,,,Asia-Southeast Asia-Philippines--,,,,Metal blade with a wood handle. Used to cut tobacco and areca nut,
8028,Ethnology & Material Culture,"Accession Number: 278
",Accession #278 Purchase 04/20/1926 (278),"Quantity: 1
Unit: ea
",Ethnographic,,,Knife,Metal; Copper; Wood,,,Asia-Southeast Asia-Philippines--,,,,One Buyo knife with a metal blade and wooden handle.  Used to cut tobacco and areca nut.,
8029,Ethnology & Material Culture,"Accession Number: 278
",Accession #278 Purchase 04/20/1926 (278),"Quantity: 1
Unit: ea
",Ethnographic,,,Knife,Metal; Wood,,,Asia-Southeast Asia-Philippines--,,,,Buyo Knife with metal blade and wood handle,
8030,Ethnology & Material Culture,"Accession Number: 278
",Accession #278 Purchase 04/20/1926 (278),"Quantity: 1
Unit: ea
",Ethnographic,,,Knife,Metal; Leather (tanned); Wood; Wicker,,,Asia-Southeast Asia-Philippines-Lanao del Sur-,,Taraca District,,"One knife for cutting rice, metal blade, wooden handle with leather and wicker trim.  Note says that it was picked up after a fight in Taraca District, April 6, 1904.",
8031,Ethnology & Material Culture,"Accession Number: 278
",Accession #278 Purchase 04/20/1926 (278),"Quantity: 1
Unit: ea
",Ethnographic,,,,Metal; Wood; Wicker,,,Asia-Southeast Asia-Philippines--,,,,"One sickle for harvesting rice, metal blade with wooden and wicker handle. 

Picked up after a fight with natives in the Taraca District, April 6, 1904",
8032,Ethnology & Material Culture,"Accession Number: 278
",Accession #278 Purchase 04/20/1926 (278),"Quantity: 1
Unit: ea
",Ethnographic,,,Knife,Wood; Botanical; Animal bone,,,Asia-Southeast Asia-Philippines--,,,,"One knife with a single shark tooth as a blade, hafted in wood using botanical material cordage.",
8033,Ethnology & Material Culture,"Accession Number: 278
",Accession #278 Purchase 04/20/1926 (278),"Quantity: 1
Unit: ea
",Ethnographic,,,Sword,Metal,,,Asia-Southeast Asia-Philippines--,Mindanao Island,,,"One old Spanish blade, three prongs, no handle or shaft.",
8034,Ethnology & Material Culture,"Accession Number: 278
",Accession #278 Purchase 04/20/1926 (278),"Quantity: 1
Unit: ea
",Ethnographic,,,Axe,Metal; Wood,,,Asia-Southeast Asia-Philippines-Lanao del Sur-,Mindanao Island,Malabang,Moro,"One Moro hatchet, picked up at Malabang, Sept. 30, 1904.",
8035,Ethnology & Material Culture,"Accession Number: 278
",Accession #278 Purchase 04/20/1926 (278),"Quantity: 1
Unit: ea
",Ethnographic,,,Powder Horn/Powder Case,Horn; Wood,,,Asia-Southeast Asia-Philippines--,,,,"A piece of wood with a wicker strip - the lid for a powder horn.  Oval shaped with a ""stem""  The actual horn is missing.","Powder horn (lid) - taken from dead body of one of Sultan Taraca's fighting men. When found, it was half full of powder. Made from horn of a carabao, or water buffalo."
8036,Ethnology & Material Culture,"Accession Number: 278
",Accession #278 Purchase 04/20/1926 (278),"Quantity: 1
Unit: ea
",Ethnographic,,,Bracelet,Wood,,,Asia-Southeast Asia-Philippines--,,,,A wooden wristlet for protection from bows.,
8037,Ethnology & Material Culture,"Accession Number: 278
",Accession #278 Purchase 04/20/1926 (278),"Quantity: 1
Unit: ea
",Ethnographic,,,Bracelet,Wood,,,Asia-Southeast Asia-Philippines--,,,,A wooden wristlet for protection from bows.,
8039,Ethnology & Material Culture,"Accession Number: 278
",Accession #278 Purchase 04/20/1926 (278),"Quantity: 1
Unit: ea
",Ethnographic,,,Gun Stock,Wood; Metal; Wicker,,,Asia-Southeast Asia-Philippines--,,,Moro,"Gun stock with no barrel, trigger mechanism, etc.  Made by a Moro.",
8040,Ethnology & Material Culture,"Accession Number: 278
",Accession #278 Purchase 04/20/1926 (278),"Quantity: 1
Unit: ea
",Ethnographic,,,Knife,Metal; Wood,,,Asia-Southeast Asia-Philippines--,,,,One knife with a metal blade and a wooden handle.,
8043,Ethnology & Material Culture,"Accession Number: 278
",Accession #278 Purchase 04/20/1926 (278),"Quantity: 1
Unit: ea
",Ethnographic,,,Pipe cleaner,Metal,,,Asia-Southeast Asia-Philippines--,,,,A metal and wood opium pipe cleaner.,
8045,Ethnology & Material Culture,"Accession Number: 278
",Accession #278 Purchase 04/20/1926 (278),"Quantity: 1
Unit: ea
",Ethnographic,,,Pipe,Bamboo; Metal,,,Asia-Southeast Asia-Philippines--,,,Chinese,One opium pipe.  Bamboo with metal bowl.,
8046,Ethnology & Material Culture,"Accession Number: 278
",Accession #278 Purchase 04/20/1926 (278),"Quantity: 1
Unit: ea
",Ethnographic,,,Pipe,Bamboo; Wood; Metal,,,Asia-Southeast Asia-Philippines--,,,Chinese,Chinese opium pipe (bamboo with metal bowl).  Bowl missing.  Wooden frog detail looking at bowl.,
8047,Asian Ethnology,"Accession Number: 278
",Accession #278 Purchase 04/20/1926 (278),"Quantity: 1
Unit: ea
",Ethnographic,,,Pipe,Wood,,,Asia-Southeast Asia-Philippines--,,,,Opium pipe bowl,
8048,Ethnology & Material Culture,"Accession Number: 278
",Accession #278 Purchase 04/20/1926 (278),"Quantity: 1
Unit: ea
",Ethnographic,,,Pipe,Earthenware,,,Asia-Southeast Asia-Philippines--,,,,A pottery opium pipe bowl.,
8049,Ethnology & Material Culture,"Accession Number: 278
",Accession #278 Purchase 04/20/1926 (278),"Quantity: 6
Unit: ea
",Ethnographic,,,Eating Utensil,Wood,,,Asia-Southeast Asia-Philippines--,,,,"6 wooden chopsticks, one is natural colored wood, the other five are purple.",probably made in China - tag says China
8050,Ethnology & Material Culture,"Accession Number: 278
",Accession #278 Purchase 04/20/1926 (278),"Quantity: 1
Unit: ea
",Ethnographic,,,Comb,Bamboo,,,Asia-Southeast Asia-Philippines--,,,,A round bamboo comb.,
8051,Ethnology & Material Culture,"Accession Number: 278
",Accession #278 Purchase 04/20/1926 (278),"Quantity: 1
Unit: ea
",Ethnographic,,,Comb,Wood,,,Asia-Southeast Asia-Philippines-Lanao del Sur-,Mindanao,Malabang,,"A woman's comb.  Handmade from wood, October 5, 1905",
8052,Ethnology & Material Culture,"Accession Number: 278
",Accession #278 Purchase 04/20/1926 (278),"Quantity: 1
Unit: ea
",Ethnographic,,,Comb,Wood,,,Asia-Southeast Asia-Philippines--,,,,A wooden comb,
8056,Ethnology & Material Culture,"Accession Number: 278
",Accession #278 Purchase 04/20/1926 (278),"Quantity: 1
Unit: ea
",Ethnographic,,,Cigarette case,Textile,,,Asia-Southeast Asia-Philippines-Lanao del Sur-,Mindanao,Malabang,,Cigarette case. Plain weave cloth case made of two pouches with the smaller of the two fitting inside the other. Woven on a black warp with white and blue weft of alternating stripes of various sized. The center has five concentric diamonds for a pattern.,"tag says: Marie Morse collection. Philippine Islands, Malabang 1905"
8057,Ethnology & Material Culture,"Accession Number: 278
",Accession #278 Purchase 04/20/1926 (278),"Quantity: 1
Unit: ea
",Ethnographic,,,Cigarette case,Unknown,,,Asia-Southeast Asia-Philippines-Lanao del Sur-,Mindanao,Malabang,,"Cigarette case. The case is two pouches with the smaller of the two fitting inside the other to form a closed case. Diagonal weave with black, purple and green diamonds.",
8058,Ethnology & Material Culture,"Accession Number: 278
",Accession #278 Purchase 04/20/1926 (278),"Quantity: 1
Unit: ea
",Ethnographic,,,Pitcher,Wood,,,Asia-Southeast Asia-Philippines--,,,,A carved wooden pitcher.,
8066,Ethnology & Material Culture,"Accession Number: 278
",Accession #278 Purchase 04/20/1926 (278),"Quantity: 1
Unit: ea
",Ethnographic,,,Model,Wood; Glass; Fiber; Cork,,,Asia-Southeast Asia-Philippines--,,,,A ship in a bottle.,"Attached card: "" Made by a sailor at Norfolk, VA"""
8068,Ethnology & Material Culture,"Accession Number: 278
",Accession #278 Purchase 04/20/1926 (278),"Quantity: 1
Unit: ea
",Ethnographic,,,Box,Bamboo,,,Asia-Southeast Asia-Philippines-Lanao del Sur-,Mindanao,Malabang,,A painted bamboo box in a tubular shape.,
8069,Ethnology & Material Culture,"Accession Number: 278
",Accession #278 Purchase 04/20/1926 (278),"Quantity: 1
Unit: ea
",Ethnographic,,,Box,Bamboo,,,Asia-Southeast Asia-Philippines-Lanao del Sur-,Mindanao,Malabang,,A carved bamboo box with no cover.  It is tubular in shape and has rattan weaving near opening.,
8070,Ethnology & Material Culture,"Accession Number: 278
",Accession #278 Purchase 04/20/1926 (278),"Quantity: 1
Unit: ea
",Ethnographic,,,Spoon,Coconut; Wood; Rattan,,,Asia-Southeast Asia-Philippines-Lanao del Sur-,Mindanao,Malabang,,Coconut bowl attached to wood handle with rattan,
8071,Ethnology & Material Culture,"Accession Number: 278
",Accession #278 Purchase 04/20/1926 (278),"Quantity: 1
Unit: ea
",Ethnographic,,,Ladle,Coconut; Wood,,,Asia-Southeast Asia-Philippines-Lanao del Sur-,Mindanao,Taraka District,,Coconut dipper with wood handle,collected in 1904
8072,Ethnology & Material Culture,"Accession Number: 278
",Accession #278 Purchase 04/20/1926 (278),"Quantity: 1
Unit: ea
",Ethnographic,,,Ladle,Coconut palm frond,,,Asia-Southeast Asia-Philippines--,,,,A palm dipper.,
8073,Ethnology & Material Culture,"Accession Number: 278
",Accession #278 Purchase 04/20/1926 (278),"Quantity: 1
Unit: ea
",Ethnographic,,,Ladle,Coconut palm frond,,,Asia-Southeast Asia-Philippines--,,,,A palm dipper.,
8074,Ethnology & Material Culture,"Accession Number: 278
",Accession #278 Purchase 04/20/1926 (278),"Quantity: 1
Unit: ea
",Ethnographic,,,Box,Coconut; Fiber,,,Asia-Southeast Asia-Philippines-Lanao del Sur-,Mindanao,Taraca District,Filipino,"A coconut shell box used as a food container (eggs, etc.)  It's made from a coconut with top cut off and a section of another coconut attached by fiber as lid.","When picked up this specimen had in it a dozen eggs. Picked up at Taraca, April 6, 1904"
8075,Ethnology & Material Culture,"Accession Number: 278
",Accession #278 Purchase 04/20/1926 (278),"Quantity: 1
Unit: ea
",Ethnographic,,,Box,Coconut; Wood; Fiber,,,Asia-Southeast Asia-Philippines-Lanao del Sur-,Mindanao,Taraca District,,"A coconut shell box used as a food container (eggs, etc.)  It's made from a coconut with top cut off and a section of another coconut attached by fiber as lid, and a piece of wood attached with fiber to create a handle.",
8076,Ethnology & Material Culture,"Accession Number: 278
",Accession #278 Purchase 04/20/1926 (278),"Quantity: 1
Unit: ea
",Ethnographic,,,Box,Bamboo,,,Asia-Southeast Asia-Philippines-Lanao del Sur-,Mindanao,Malabang,Filipino,"small bamboo joint box with a removable lid. The box is circular in shape with a slightly bulbous body - constricting at both neck and base. The lid is flat and has a piece of twine coming through a center hole. It was once attached to a hole on the side of the box. Dark brownish red in color, hand carved, two splits on the side.",
8078,Ethnology & Material Culture,"Accession Number: 278
",Accession #278 Purchase 04/20/1926 (278),"Quantity: 1
Unit: ea
",Ethnographic,,,Bracelet,Silver; Brass,,,Asia-Southeast Asia-Philippines--,,,Moro,"1 silver bracelet with small brass lock, engraved design.  Worn by Moro women,",
8082,Ethnology & Material Culture,"Accession Number: 278
",Accession #278 Purchase 04/20/1926 (278),"Quantity: 1
Unit: ea
",Ethnographic,,,Bead,Fiber; Glass; Copper; Animal bone,,,Asia-Southeast Asia-Philippines-Lanao del Sur-,,,Moro,"Blue beads and white beads strung together, and used as both prayer beads and medicine beads by the Panditas or Moro priests.  Item made of fiber string with teeth, copper wire, glass and bone beads.",
8083,Ethnology & Material Culture,"Accession Number: 278
",Accession #278 Purchase 04/20/1926 (278),"Quantity: 1
Unit: ea
",Ethnographic,,,Bead,Seed; Fiber,,,Asia-Southeast Asia-Philippines--,,,,Seed prayer beads on fiber string.,
8084,Ethnology & Material Culture,"Accession Number: 278
",Accession #278 Purchase 04/20/1926 (278),"Quantity: 1
Unit: ea
",Ethnographic,,,Necklace,Ivory; Glass; Wood; Bamboo,,,Asia-Southeast Asia-Philippines--,,,,A beaded necklace. Long beads are made of fine bamboo reeds which are painted in various colors;  small round beads are made of stained and polished wood.  Some beads may be glass.,
8085,Ethnology & Material Culture,"Accession Number: 278
",Accession #278 Purchase 04/20/1926 (278),"Quantity: 1
Unit: ea
",Ethnographic,,,Bead,Horn; Glass,,,Asia-Southeast Asia-Philippines-Lanao del Sur-,,,Moro,"Carabao horn and glass beads threaded together, and used both as prayer beads and medicine beads by the Panditas or Moro priests.",
8086,Ethnology & Material Culture,"Accession Number: 278
",Accession #278 Purchase 04/20/1926 (278),"Quantity: 1
Unit: ea
",Ethnographic,,,Necklace,Seed; Copper; Fiber; Animal bone,,,Asia-Southeast Asia-Philippines--,,,,"A necklace made of fiber string, teeth, copper wire, and seeds.",
8087,Ethnology & Material Culture,"Accession Number: 278
",Accession #278 Purchase 04/20/1926 (278),"Quantity: 1
Unit: ea
",Ethnographic,,,Ring,Silver; Animal bone,,,Asia-Southeast Asia-Philippines--,,,,silver and tortoise shell ring,
8089,Ethnology & Material Culture,"Accession Number: 278
",Accession #278 Purchase 04/20/1926 (278),"Quantity: 1
Unit: ea
",Ethnographic,,,Figurine,Brass,,,Asia-Southeast Asia-Philippines-Lanao del Sur-,Mindanao,Malabang,Moro,A brass cobra figurine.  Snake made by Moros at Malabang Mindanas. P. 1.,
8091,Ethnology & Material Culture,"Accession Number: 278
",Accession #278 Purchase 04/20/1926 (278),"Quantity: 1
Unit: ea
",Ethnographic,,,Figurine,Brass,,,Asia-Southeast Asia-Philippines-Lanao del Sur-,Mindanao,Malabang,Moro,A brass lizard.,
8092,Ethnology & Material Culture,"Accession Number: 278
",Accession #278 Purchase 04/20/1926 (278),"Quantity: 1
Unit: ea
",Ethnographic,,,Sample,Coral,,,Asia-Southeast Asia-Philippines--,,,,Unmodified black coral,
8093,Ethnology & Material Culture,"Accession Number: 278
",Accession #278 Purchase 04/20/1926 (278),"Quantity: 1
Unit: ea
",Ethnographic,,,Sample,Coral,,,Asia-Southeast Asia-Philippines--,,,,Unmodified black coral. Stick-like.,
8094,Ethnology & Material Culture,"Accession Number: 278
",Accession #278 Purchase 04/20/1926 (278),"Quantity: 1
Unit: ea
",Ethnographic,,,Mirror,Wood; Glass; Textile; Metal,,"found in the ""cotta"" or fort in the Taraka District, April 7, 1904",Asia-Southeast Asia-Philippines--,Mindanao,,,A mirror made of glass with a wooden frame and textile and metal attached. Mirror is cracked,
8095,Ethnology & Material Culture,"Accession Number: 278
",Accession #278 Purchase 04/20/1926 (278),"Quantity: 1
Unit: ea
",Ethnographic,,,Scale,Brass; Fiber,,,Asia-Southeast Asia-Philippines--,,,Moro,A Moro scale made of brass and fiber.,
8096,Ethnology & Material Culture,"Accession Number: 278
",Accession #278 Purchase 04/20/1926 (278),"Quantity: 1
Unit: ea
",Ethnographic,,,Chain,Metal; Wood,,,Asia-Southeast Asia-Philippines--,,,,A metal chain with wood at the ends.,
8097,Ethnology & Material Culture,"Accession Number: 278
",Accession #278 Purchase 04/20/1926 (278),"Quantity: 1
Unit: ea
",Ethnographic,,,Chain,Metal,,,Asia-Southeast Asia-Philippines--,,,,A metal chain,
8098,Ethnology & Material Culture,"Accession Number: 278
",Accession #278 Purchase 04/20/1926 (278),"Quantity: 1
Unit: ea
",Ethnographic,,,Chain,Brass,,,Asia-Southeast Asia-Philippines--,,,,A brass chain,
8099,Ethnology & Material Culture,"Accession Number: 278
",Accession #278 Purchase 04/20/1926 (278),"Quantity: 1
Unit: ea
",Ethnographic,,,Chain,Brass,,,Asia-Southeast Asia-Philippines--,,,,A brass chain,
8100,Ethnology & Material Culture,"Accession Number: 278
",Accession #278 Purchase 04/20/1926 (278),"Quantity: 1
Unit: ea
",Ethnographic,,,Unknown,Wood,,,Asia-Southeast Asia-Philippines--,,,,A bundle of 8 pieces of wood,
8101,Ethnology & Material Culture,"Accession Number: 278
",Accession #278 Purchase 04/20/1926 (278),"Quantity: 1
Unit: ea
",Ethnographic,,,Horn,Horn,,,Asia-Southeast Asia-Philippines--,,,,A carved carabao horn.,
8102,Ethnobotanical Laboratory,"Accession Number: 278
",Accession #278 Purchase 04/20/1926 (278),,Ebot,,,,Fiber,,,,,,,1 bundle of hemp as taken from the abaca plant.,
8103,Zooarchaeology Laboratory,"Accession Number: 278
",Accession #278 Purchase 04/20/1926 (278),"Quantity: 1
Unit: lot
",Faunal,,,Unworked Animal Bone,Tusk,,,Asia-Southeast Asia-Philippines--,,,,Boar's tusks. 5 boars' tusks held together with metal wire.,"All are fragmenting. Tag on tusks reads: ""Boar tushes from Malabaug (?) Mind. P. J. 1904"""
8104,Zooarchaeology Laboratory,"Accession Number: 278
",Accession #278 Purchase 04/20/1926 (278),"Quantity: 5
Unit: ea
",Faunal,,,Unworked Animal Bone,Tooth,,,Asia-Southeast Asia-Philippines--,,,,Whale teeth (Killer whale),"5 ""killer"" whale teeth. A piece of paper that is rolled up and stuffed inside one tooth reads: ""Whale teeth from New Bedford, Mass."" This conflicts with the handwritten catalog, which reads: ""Whale teeth (Killer whale), Philippine Islands."""
8107,Ethnology & Material Culture,"Accession Number: 278
",Accession #278 Purchase 04/20/1926 (278),"Quantity: 1
Unit: ea
",Ethnographic,,,Walking stick/cane,Bamboo,,,Asia-Southeast Asia-Philippines--,,,,A carved bamboo cane with a curved handle.,
8109,Ethnology & Material Culture,"Accession Number: 278
",Accession #278 Purchase 04/20/1926 (278),"Quantity: 1
Unit: ea
",Ethnographic,,,Walking stick/cane,Wood; Silver,,,Asia-Southeast Asia-Philippines--,,,,"A wooden cane with a silver tip and top, and a Philippines 20 centavo coin.",
8110,Ethnology & Material Culture,"Accession Number: 278
",Accession #278 Purchase 04/20/1926 (278),"Quantity: 1
Unit: ea
",Ethnographic,,,Walking stick/cane,Wood; Silver,,,Asia-Southeast Asia-Philippines--,,,,A wooden cane with a silver tip and top.,
8111,Ethnology & Material Culture,"Accession Number: 278
",Accession #278 Purchase 04/20/1926 (278),"Quantity: 1
Unit: ea
",Ethnographic,,,Walking stick/cane,Wood; Ivory; Silver,,,Asia-Southeast Asia-Philippines--,,,,"A wooden cane with a silver tip, and silver and tusk on the handle.",
8112,Ethnology & Material Culture,"Accession Number: 278
",Accession #278 Purchase 04/20/1926 (278),"Quantity: 1
Unit: ea
",Ethnographic,,,Walking stick/cane,Wood; Animal bone,,,Asia-Southeast Asia-Philippines--,,,,A black and white stripped cane made of bone and wood.,
8113,Ethnology & Material Culture,"Accession Number: 278
",Accession #278 Purchase 04/20/1926 (278),"Quantity: 1
Unit: ea
",Ethnographic,,,Walking stick/cane,Wood,,,Asia-Southeast Asia-Philippines--,,,,A brown cane made of wood.,
8114,Library Division,"Accession Number: 278
",Accession #278 Purchase 04/20/1926 (278),"Quantity: 1
Unit: ea
",Limbo,,,Book,Paper,,,Asia-Southeast Asia-Philippines--,,,,A Magindanan reader.,
8115,Library Division,"Accession Number: 278
",Accession #278 Purchase 04/20/1926 (278),"Quantity: 1
Unit: ea
",Limbo,,,Book,Paper,,,Asia-Southeast Asia-Philippines--,,,,"A hardback paper book.  ""The Santiago Campaign - Cuba.""",
8117,Ethnobotanical Laboratory,"Accession Number: 278
",Accession #278 Purchase 04/20/1926 (278),,Ebot,,,,Seed,,,,,,,One dried seed pod,
8122,Ethnology & Material Culture,"Accession Number: 278
",Accession #278 Purchase 04/20/1926 (278),"Quantity: 1
Unit: ea
",Ethnographic,,,Saw,Animal bone,,,Asia-Southeast Asia-Philippines--,,,,The saw from a sawfish.,
8124,Ethnology & Material Culture,"Accession Number: 278
",Accession #278 Purchase 04/20/1926 (278),"Quantity: 1
Unit: ea
",Ethnographic,,,Stopper,Wood,,,Asia-Southeast Asia-Philippines--,,,,Wooden stopper.  Round with crown-shaped top,
8125,Ethnology & Material Culture,"Accession Number: 278
",Accession #278 Purchase 04/20/1926 (278),"Quantity: 1
Unit: ea
",Ethnographic,,,Botanical Sample,Coconut; Steel; Fiber,,,Asia-Southeast Asia-Philippines--,,,,Coconut.  Still has husk.  Only modification is a steel nail driven into the stem end and a piece of twine tied around this.,
8129,Ethnology & Material Culture,"Accession Number: 278
",Accession #278 Purchase 04/20/1926 (278),"Quantity: 1
Unit: ea
",Ethnographic,,,Basket,Grass,,,Asia-Southeast Asia-Philippines-Cotabato-,,,,"Basket with eight decorative legs.  Red, black, natural color. 


Included note states, ""Basket made by women at Cottobatto""",
8130,Ethnology & Material Culture,"Accession Number: 278
",Accession #278 Purchase 04/20/1926 (278),"Quantity: 1
Unit: ea
",Ethnographic,,,Hat,Straw,,,Asia-Southeast Asia-Philippines--,,,,Miniature straw hat.,
8131,Ethnology & Material Culture,"Accession Number: 278
",Accession #278 Purchase 04/20/1926 (278),"Quantity: 1
Unit: ea
",Ethnographic,,,Hat,Straw,,,Asia-Southeast Asia-Philippines--,,,,"Miniature straw hat, green and red.",
8137,Ethnology & Material Culture,"Accession Number: 278
",Accession #278 Purchase 04/20/1926 (278),"Quantity: 1
Unit: ea
",Ethnographic,,,Unworked Animal Bone,Baleen (whalebone),,,Asia-Southeast Asia-Philippines--,,,,"Bundle of whalebone, baleen",
8139,Ethnobotanical Laboratory,"Accession Number: 278
",Accession #278 Purchase 04/20/1926 (278),,Ebot,,,,Husk,,,,,,,"1 piece of husk from a jack fruit (from a tree) used to clean pods (or pots?). 17"" x 4"" x 5""",
8140,Ethnology & Material Culture,"Accession Number: 278
",Accession #278 Purchase 04/20/1926 (278),"Quantity: 1
Unit: ea
",Ethnographic,,,Ornament,Metal,,,Asia-Southeast Asia-Philippines--,,,,Filigree metal work,
